,0
2025-07-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,XRP/USDT:USDT,RESOLV/USDT:USDT,SUI/USDT:USDT,AAVE/USDT:USDT,HYPE/USDT:USDT,UNI/USDT:USDT,FARTCOIN/USDT:USDT,ANIME/USDT:USDT,TRUMP/USDT:USDT,WIF/USDT:USDT,BCH/USDT:USDT,MOODENG/USDT:USDT,ADA/USDT:USDT,WLD/USDT:USDT,SOPH/USDT:USDT,MASK/USDT:USDT,PI/USDT:USDT,RVN/USDT:USDT,TRB/USDT:USDT,LINK/USDT:USDT,OP/USDT:USDT,PENGU/USDT:USDT,LTC/USDT:USDT,PNUT/USDT:USDT,CRV/USDT:USDT"
2025-08-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,PENGU/USDT:USDT,SUI/USDT:USDT,ADA/USDT:USDT,SPK/USDT:USDT,BONK/USDT:USDT,UNI/USDT:USDT,LTC/USDT:USDT,CFX/USDT:USDT,AAVE/USDT:USDT,TRUMP/USDT:USDT,CRV/USDT:USDT,WLD/USDT:USDT,WIF/USDT:USDT,XLM/USDT:USDT,MOODENG/USDT:USDT,FARTCOIN/USDT:USDT,BCH/USDT:USDT,LINK/USDT:USDT,PNUT/USDT:USDT,H/USDT:USDT,BNB/USDT:USDT,HBAR/USDT:USDT,SAHARA/USDT:USDT,HYPE/USDT:USDT"
2025-09-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT,SUI/USDT:USDT,BIO/USDT:USDT,LTC/USDT:USDT,MAGIC/USDT:USDT,PENGU/USDT:USDT,PUMP/USDT:USDT,AAVE/USDT:USDT,TRUMP/USDT:USDT,BNB/USDT:USDT,UNI/USDT:USDT,SPK/USDT:USDT,CRO/USDT:USDT,ARB/USDT:USDT,CRV/USDT:USDT,HYPE/USDT:USDT,FARTCOIN/USDT:USDT,AVAX/USDT:USDT,SOON/USDT:USDT,WLD/USDT:USDT,CFX/USDT:USDT,LDO/USDT:USDT,WIF/USDT:USDT"
2025-10-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,WLFI/USDT:USDT,PUMP/USDT:USDT,XRP/USDT:USDT,XPL/USDT:USDT,WLD/USDT:USDT,PEPE/USDT:USDT,BNB/USDT:USDT,AVAX/USDT:USDT,SUI/USDT:USDT,LINEA/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT,HYPE/USDT:USDT,MERL/USDT:USDT,PENGU/USDT:USDT,OKB/USDT:USDT,LTC/USDT:USDT,AAVE/USDT:USDT,NMR/USDT:USDT,H/USDT:USDT,KAITO/USDT:USDT,BIO/USDT:USDT,MOODENG/USDT:USDT,BCH/USDT:USDT,TRUMP/USDT:USDT,JELLYJELLY/USDT:USDT"
2025-11-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,BNB/USDT:USDT,XRP/USDT:USDT,XPL/USDT:USDT,PUMP/USDT:USDT,PEPE/USDT:USDT,ASTER/USDT:USDT,SUI/USDT:USDT,LTC/USDT:USDT,H/USDT:USDT,HYPE/USDT:USDT,LINK/USDT:USDT,ADA/USDT:USDT,TRUMP/USDT:USDT,WLFI/USDT:USDT,WLD/USDT:USDT,SNX/USDT:USDT,YB/USDT:USDT,OKB/USDT:USDT,AVAX/USDT:USDT,PENGU/USDT:USDT,AAVE/USDT:USDT,ZORA/USDT:USDT,CRV/USDT:USDT,FIL/USDT:USDT,AVNT/USDT:USDT,JELLYJELLY/USDT:USDT"
2025-12-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,ZEC/USDT:USDT,XRP/USDT:USDT,FIL/USDT:USDT,ASTER/USDT:USDT,BNB/USDT:USDT,MMT/USDT:USDT,PEPE/USDT:USDT,HYPE/USDT:USDT,PUMP/USDT:USDT,GIGGLE/USDT:USDT,RESOLV/USDT:USDT,JELLYJELLY/USDT:USDT,LTC/USDT:USDT,ICP/USDT:USDT,SUI/USDT:USDT,UNI/USDT:USDT,STRK/USDT:USDT,ADA/USDT:USDT,XPL/USDT:USDT,LINK/USDT:USDT,WLFI/USDT:USDT,TRUMP/USDT:USDT,BEAT/USDT:USDT,SOON/USDT:USDT,BCH/USDT:USDT,MERL/USDT:USDT"
2026-01-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,BEAT/USDT:USDT,DOGE/USDT:USDT,ZEC/USDT:USDT,XRP/USDT:USDT,NIGHT/USDT:USDT,PIPPIN/USDT:USDT,PEPE/USDT:USDT,LUNA/USDT:USDT,HYPE/USDT:USDT,SUI/USDT:USDT,BCH/USDT:USDT,WET/USDT:USDT,ADA/USDT:USDT,BNB/USDT:USDT,PIEVERSE/USDT:USDT,JELLYJELLY/USDT:USDT,XPL/USDT:USDT,LINK/USDT:USDT,PUMP/USDT:USDT,ASTER/USDT:USDT,H/USDT:USDT,LTC/USDT:USDT,FIL/USDT:USDT,TRUTH/USDT:USDT,AAVE/USDT:USDT,UNI/USDT:USDT,ZBT/USDT:USDT"
2026-02-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,ZEC/USDT:USDT,AXS/USDT:USDT,HYPE/USDT:USDT,PUMP/USDT:USDT,SUI/USDT:USDT,DASH/USDT:USDT,BCH/USDT:USDT,PIPPIN/USDT:USDT,BNB/USDT:USDT,ADA/USDT:USDT,LTC/USDT:USDT,ENSO/USDT:USDT,BREV/USDT:USDT,FIL/USDT:USDT,LINK/USDT:USDT,SENT/USDT:USDT,BEAT/USDT:USDT,WLD/USDT:USDT,FOGO/USDT:USDT,XPL/USDT:USDT,LIT/USDT:USDT,WLFI/USDT:USDT,ASTER/USDT:USDT,AVAX/USDT:USDT"
2026-03-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PIPPIN/USDT:USDT,HYPE/USDT:USDT,PEPE/USDT:USDT,ZEC/USDT:USDT,BNB/USDT:USDT,SPACE/USDT:USDT,ESP/USDT:USDT,BCH/USDT:USDT,ADA/USDT:USDT,ENSO/USDT:USDT,SUI/USDT:USDT,PUMP/USDT:USDT,WLFI/USDT:USDT,LTC/USDT:USDT,FIL/USDT:USDT,LINK/USDT:USDT,BERA/USDT:USDT,SENT/USDT:USDT,AXS/USDT:USDT,ASTER/USDT:USDT,UNI/USDT:USDT,DOT/USDT:USDT,AVAX/USDT:USDT,AAVE/USDT:USDT,WLD/USDT:USDT"
2026-04-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,PEPE/USDT:USDT,HYPE/USDT:USDT,TRUMP/USDT:USDT,PIPPIN/USDT:USDT,TAO/USDT:USDT,ZEC/USDT:USDT,BEAT/USDT:USDT,ADA/USDT:USDT,ONT/USDT:USDT,BNB/USDT:USDT,SUI/USDT:USDT,RESOLV/USDT:USDT,BARD/USDT:USDT,FIL/USDT:USDT,BCH/USDT:USDT,SAHARA/USDT:USDT,PUMP/USDT:USDT,OKB/USDT:USDT,LINK/USDT:USDT,TRIA/USDT:USDT,ROBO/USDT:USDT,WLD/USDT:USDT,AVAX/USDT:USDT,XPL/USDT:USDT,DOT/USDT:USDT"
2026-05-01,"ETH/USDT:USDT,BTC/USDT:USDT,RAVE/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,XRP/USDT:USDT,ZEC/USDT:USDT,PEPE/USDT:USDT,BASED/USDT:USDT,BSB/USDT:USDT,ORDI/USDT:USDT,HYPE/USDT:USDT,TRUMP/USDT:USDT,KAT/USDT:USDT,PIPPIN/USDT:USDT,ADA/USDT:USDT,PIEVERSE/USDT:USDT,TAO/USDT:USDT,BNB/USDT:USDT,ENJ/USDT:USDT,EDGE/USDT:USDT,SUI/USDT:USDT,BEAT/USDT:USDT,BIO/USDT:USDT,LAB/USDT:USDT,XPL/USDT:USDT,AAVE/USDT:USDT,PENGU/USDT:USDT,FIL/USDT:USDT,ONT/USDT:USDT"
2026-06-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,LAB/USDT:USDT,ZEC/USDT:USDT,HYPE/USDT:USDT,DOGE/USDT:USDT,BSB/USDT:USDT,XRP/USDT:USDT,BILL/USDT:USDT,SUI/USDT:USDT,PEPE/USDT:USDT,WLD/USDT:USDT,UB/USDT:USDT,NEAR/USDT:USDT,BNB/USDT:USDT,XLM/USDT:USDT,FIL/USDT:USDT,BEAT/USDT:USDT,MU/USDT:USDT,ONDO/USDT:USDT,H/USDT:USDT,ALLO/USDT:USDT,RAVE/USDT:USDT,ADA/USDT:USDT,AI/USDT:USDT,TRUMP/USDT:USDT,EDEN/USDT:USDT,BCH/USDT:USDT,LINK/USDT:USDT"
2026-07-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,ZEC/USDT:USDT,HYPE/USDT:USDT,SPCX/USDT:USDT,WLD/USDT:USDT,DOGE/USDT:USDT,BEAT/USDT:USDT,LAB/USDT:USDT,MU/USDT:USDT,XRP/USDT:USDT,H/USDT:USDT,PEPE/USDT:USDT,ALLO/USDT:USDT,NEAR/USDT:USDT,BSB/USDT:USDT,SLX/USDT:USDT,TRUMP/USDT:USDT,BNB/USDT:USDT,SUI/USDT:USDT,MRVL/USDT:USDT,XPL/USDT:USDT,ADA/USDT:USDT,FIL/USDT:USDT,XLM/USDT:USDT,UB/USDT:USDT,BCH/USDT:USDT,BASED/USDT:USDT,OPN/USDT:USDT"
2026-08-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,MU/USDT:USDT,LAB/USDT:USDT,ZEC/USDT:USDT,SPCX/USDT:USDT,DOGE/USDT:USDT,HYPE/USDT:USDT,SKHY/USDT:USDT,XRP/USDT:USDT,BEAT/USDT:USDT,WLD/USDT:USDT,PEPE/USDT:USDT,KAITO/USDT:USDT,PUMP/USDT:USDT,KORU/USDT:USDT,ALLO/USDT:USDT,RE/USDT:USDT,ADA/USDT:USDT,ONDO/USDT:USDT,SUI/USDT:USDT,BASED/USDT:USDT,SHIB/USDT:USDT,INTC/USDT:USDT,BNB/USDT:USDT,UNI/USDT:USDT,LIT/USDT:USDT,AAVE/USDT:USDT,EDGE/USDT:USDT"
2026-09-01,"ETH/USDT:USDT,BTC/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,ZEC/USDT:USDT,SPCX/USDT:USDT,HYPE/USDT:USDT,DOGE/USDT:USDT,TRUMP/USDT:USDT,MU/USDT:USDT,PUMP/USDT:USDT,BEAT/USDT:USDT,PEPE/USDT:USDT,BICO/USDT:USDT,SKHY/USDT:USDT,SNXX/USDT:USDT,ENA/USDT:USDT,WLD/USDT:USDT,APR/USDT:USDT,CAP/USDT:USDT,SUI/USDT:USDT,KORU/USDT:USDT,UNI/USDT:USDT,ADA/USDT:USDT,BNB/USDT:USDT,LINK/USDT:USDT,AAVE/USDT:USDT,UB/USDT:USDT,GRVT/USDT:USDT,LIT/USDT:USDT"
