,0
2023-11-01,"BTC/USDT:USDT,ETH/USDT:USDT,TRB/USDT:USDT,SOL/USDT:USDT,LINK/USDT:USDT,BCH/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,WLD/USDT:USDT,PEPE/USDT:USDT,LTC/USDT:USDT,CFX/USDT:USDT,OP/USDT:USDT,BIGTIME/USDT:USDT,ARB/USDT:USDT,BLUR/USDT:USDT,APT/USDT:USDT,YGG/USDT:USDT,GALA/USDT:USDT,FIL/USDT:USDT,AVAX/USDT:USDT,SUI/USDT:USDT,DOT/USDT:USDT,ETC/USDT:USDT,DYDX/USDT:USDT,BNB/USDT:USDT,MINA/USDT:USDT,AGLD/USDT:USDT,ORDI/USDT:USDT,APE/USDT:USDT"
2023-12-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,ORDI/USDT:USDT,GAS/USDT:USDT,TRB/USDT:USDT,DOGE/USDT:USDT,BLUR/USDT:USDT,LINK/USDT:USDT,TIA/USDT:USDT,XRP/USDT:USDT,MEME/USDT:USDT,WLD/USDT:USDT,AVAX/USDT:USDT,LTC/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,ARB/USDT:USDT,BCH/USDT:USDT,GALA/USDT:USDT,OP/USDT:USDT,UNI/USDT:USDT,SUSHI/USDT:USDT,SUI/USDT:USDT,PEPE/USDT:USDT,ZRX/USDT:USDT,YGG/USDT:USDT,LUNA/USDT:USDT,CFX/USDT:USDT,ETC/USDT:USDT"
2024-01-01,"BTC/USDT:USDT,ETH/USDT:USDT,ORDI/USDT:USDT,SOL/USDT:USDT,TRB/USDT:USDT,TIA/USDT:USDT,AVAX/USDT:USDT,OP/USDT:USDT,DOGE/USDT:USDT,BIGTIME/USDT:USDT,FIL/USDT:USDT,WLD/USDT:USDT,ADA/USDT:USDT,MEME/USDT:USDT,XRP/USDT:USDT,ARB/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,DOT/USDT:USDT,BCH/USDT:USDT,BLUR/USDT:USDT,ICP/USDT:USDT,STX/USDT:USDT,INJ/USDT:USDT,NEAR/USDT:USDT,AUCTION/USDT:USDT,DYDX/USDT:USDT,BNB/USDT:USDT,SUI/USDT:USDT,PEPE/USDT:USDT"
2024-02-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,ORDI/USDT:USDT,PEOPLE/USDT:USDT,SUI/USDT:USDT,TRB/USDT:USDT,TIA/USDT:USDT,ARB/USDT:USDT,UMA/USDT:USDT,OP/USDT:USDT,ETC/USDT:USDT,DOGE/USDT:USDT,ENS/USDT:USDT,FIL/USDT:USDT,BLUR/USDT:USDT,XRP/USDT:USDT,AVAX/USDT:USDT,SATS/USDT:USDT,API3/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,CFX/USDT:USDT,ICP/USDT:USDT,ADA/USDT:USDT,BCH/USDT:USDT,MASK/USDT:USDT,BNB/USDT:USDT,JTO/USDT:USDT,LDO/USDT:USDT"
2024-03-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,WLD/USDT:USDT,ORDI/USDT:USDT,DOGE/USDT:USDT,FIL/USDT:USDT,SUI/USDT:USDT,PEPE/USDT:USDT,LINK/USDT:USDT,OP/USDT:USDT,API3/USDT:USDT,TIA/USDT:USDT,LPT/USDT:USDT,XRP/USDT:USDT,UNI/USDT:USDT,ZETA/USDT:USDT,ARB/USDT:USDT,SATS/USDT:USDT,LTC/USDT:USDT,STX/USDT:USDT,ADA/USDT:USDT,AVAX/USDT:USDT,BCH/USDT:USDT,ETC/USDT:USDT,PEOPLE/USDT:USDT,ENS/USDT:USDT,BLUR/USDT:USDT,TRB/USDT:USDT,PYTH/USDT:USDT"
2024-04-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,SHIB/USDT:USDT,WLD/USDT:USDT,ORDI/USDT:USDT,FIL/USDT:USDT,XRP/USDT:USDT,BCH/USDT:USDT,FLOKI/USDT:USDT,LTC/USDT:USDT,AVAX/USDT:USDT,SUI/USDT:USDT,OP/USDT:USDT,NEAR/USDT:USDT,BNB/USDT:USDT,ARB/USDT:USDT,CFX/USDT:USDT,APT/USDT:USDT,ETC/USDT:USDT,CORE/USDT:USDT,STRK/USDT:USDT,GALA/USDT:USDT,YGG/USDT:USDT,AEVO/USDT:USDT,ZRX/USDT:USDT,ADA/USDT:USDT,BONK/USDT:USDT"
2024-05-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,ORDI/USDT:USDT,CORE/USDT:USDT,BCH/USDT:USDT,WLD/USDT:USDT,ETHFI/USDT:USDT,XRP/USDT:USDT,LTC/USDT:USDT,W/USDT:USDT,SHIB/USDT:USDT,FIL/USDT:USDT,NEAR/USDT:USDT,BNB/USDT:USDT,JTO/USDT:USDT,YGG/USDT:USDT,OP/USDT:USDT,SUI/USDT:USDT,NEO/USDT:USDT,TIA/USDT:USDT,ETC/USDT:USDT,AEVO/USDT:USDT,SATS/USDT:USDT,BONK/USDT:USDT,AVAX/USDT:USDT,ARB/USDT:USDT,CFX/USDT:USDT"
2024-06-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,DOGE/USDT:USDT,PEOPLE/USDT:USDT,TRB/USDT:USDT,ORDI/USDT:USDT,TURBO/USDT:USDT,WLD/USDT:USDT,WIF/USDT:USDT,ETHFI/USDT:USDT,SHIB/USDT:USDT,BONK/USDT:USDT,FLOKI/USDT:USDT,XRP/USDT:USDT,NEAR/USDT:USDT,AR/USDT:USDT,ETC/USDT:USDT,OP/USDT:USDT,BCH/USDT:USDT,LINK/USDT:USDT,JTO/USDT:USDT,CORE/USDT:USDT,SUI/USDT:USDT,BNB/USDT:USDT,FIL/USDT:USDT,ENS/USDT:USDT,LTC/USDT:USDT,ARB/USDT:USDT"
2024-07-01,"BTC/USDT:USDT,ETH/USDT:USDT,NOT/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,PEOPLE/USDT:USDT,ORDI/USDT:USDT,DOGE/USDT:USDT,TURBO/USDT:USDT,WLD/USDT:USDT,CRV/USDT:USDT,BNB/USDT:USDT,WIF/USDT:USDT,TRB/USDT:USDT,XRP/USDT:USDT,ENS/USDT:USDT,FIL/USDT:USDT,SATS/USDT:USDT,FLOKI/USDT:USDT,UNI/USDT:USDT,MEW/USDT:USDT,SHIB/USDT:USDT,BCH/USDT:USDT,ETHFI/USDT:USDT,BONK/USDT:USDT,LTC/USDT:USDT,LDO/USDT:USDT,W/USDT:USDT,INJ/USDT:USDT,AVAX/USDT:USDT"
2024-08-01,"BTC/USDT:USDT,ETH/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,NOT/USDT:USDT,DOGE/USDT:USDT,WLD/USDT:USDT,PEOPLE/USDT:USDT,ORDI/USDT:USDT,XRP/USDT:USDT,SATS/USDT:USDT,ZRO/USDT:USDT,TURBO/USDT:USDT,MEW/USDT:USDT,WIF/USDT:USDT,CRV/USDT:USDT,ENS/USDT:USDT,BCH/USDT:USDT,ETHFI/USDT:USDT,SHIB/USDT:USDT,BONK/USDT:USDT,TIA/USDT:USDT,FIL/USDT:USDT,AVAX/USDT:USDT,LTC/USDT:USDT,BNB/USDT:USDT,TRB/USDT:USDT,ADA/USDT:USDT,ZK/USDT:USDT,OP/USDT:USDT"
