combinaison,entry_time,exit_time,pair,variant,entry_price,initial_stop,target,exit_price,exit_reason,r_multiple,net_pnl,gross_pnl,fees,funding,bars_held,qty,notional,risk_amount,rr_planned,b_price,a_price,l1,l2,moved_to_breakeven,size_capped,equity_after
B-risk2%,2023-02-04 18:00:00+00:00,2023-02-05 12:00:00+00:00,AAVE_USDT_USDT,B,89.49,87.222545,96.25999999999999,87.1789337275,stop,-1.0709669810647295,-2.141933962129459,-2.038467155908277,0.08570658606245776,0.01776022015872422,18,0.8820461707068064,78.9343118165521,2.0,2.985726287842538,94.49,87.72,89.29,87.485,False,False,97.85806603787054
B-risk2%,2023-02-03 20:00:00+00:00,2023-02-05 19:00:00+00:00,ETH_USDT_USDT,B,1656.05,1610.1136957142855,1726.05,1609.3086388664285,stop,-1.0778019374829204,-2.155603874965841,-2.035051006404422,0.07819293603621708,0.04235993252520178,47,0.04353854823758588,72.10201280885408,2.0,1.5238491883155059,1720.0,1650.0,1655.0549999999998,1614.9585714285713,False,False,95.70246216290471
B-risk2%,2023-02-03 05:00:00+00:00,2023-02-06 05:00:00+00:00,BTC_USDT_USDT,B,23527.8,22624.945925,25056.899999999998,22613.633452037502,stop,-1.0640915104261104,-2.1281830208522208,-2.0250593607001175,0.05621681089188338,0.04690684926021964,72,0.002215197400532308,52.11872140024404,2.0,1.6936291725769745,24280.0,22750.9,23524.6,22693.025,False,False,93.57427914205249
B-risk2%,2023-02-02 22:00:00+00:00,2023-02-07 22:00:00+00:00,YFI_USDT_USDT,B,7717.0,7365.836,8861.0,7829.0,time_stop,0.26162761558701936,0.5232552311740387,0.6378785980339675,0.04869690514973064,0.06592646171019814,120,0.005695344625303281,43.95097447346542,2.0,3.2577371256734766,8144.0,7000.0,7610.0,7388.0,False,False,94.09753437322652
B-risk2%,2023-03-14 22:00:00+00:00,2023-03-15 14:00:00+00:00,FIL_USDT_USDT,B,6.795,6.305028,8.251000000000001,6.301875486,stop,-1.0239091121886557,-1.9269464575846373,-1.8940592893632948,0.027667337324343604,0.005219830896998803,16,3.8409351707128794,26.099154484994013,1.8819506874645304,2.9715983770501206,7.585,6.129,6.652166666666666,6.324,False,False,92.17058791564189
B-risk2%,2023-07-12 14:00:00+00:00,2023-07-12 17:00:00+00:00,ORDI_USDT_USDT,B,7.742,7.4301425000000005,8.963999999999999,7.426427428750001,stop,-1.0395951078162682,-1.9164018456330112,-1.8653718074545733,0.04931390655187071,0.001716131626567184,3,5.91107078814151,45.76351004179157,1.8434117583128378,3.918456346247888,8.1,6.878,7.600333333333334,7.452500000000001,False,False,90.25418607000887
B-risk2%,2023-07-13 06:00:00+00:00,2023-07-13 15:00:00+00:00,SOL_USDT_USDT,B,21.857,21.302899,22.946,22.946,target,1.9309305298131632,3.4854912665203606,3.547613472281767,0.05411185579615224,0.008010349965254383,9,3.257679956181598,71.20311080226118,1.8050837214001774,1.9653456680280375,22.946,21.857,21.7895,21.367,False,False,93.73967733652923
B-risk2%,2023-07-12 22:00:00+00:00,2023-07-14 18:00:00+00:00,ORDI_USDT_USDT,B,7.41,6.968033,8.632,6.9645489835,stop,-1.0349924732862972,-1.868248065300803,-1.8193131581437338,0.03228973069238637,0.016645176464682714,44,4.084204751486372,30.26395720851402,1.8050837214001774,2.7649123124577164,8.1,6.878,7.2995,6.989,False,False,91.87142927122842
B-risk2%,2023-07-15 17:00:00+00:00,2023-07-17 10:00:00+00:00,AAVE_USDT_USDT,B,78.6,75.049175,87.7,75.0116504125,stop,-1.0457058557453205,-1.921409831292312,-1.8568462558895362,0.043718781026154695,0.02084479437662104,41,0.5174652610096454,40.67276951535813,1.8374285854245684,2.5627847049629415,88.04,78.94,78.39666666666666,75.275,False,False,89.95001943993611
B-risk2%,2023-10-31 16:00:00+00:00,2023-11-01 10:00:00+00:00,LINK_USDT_USDT,B,11.232,10.8468615,12.223999999999998,10.84143806925,stop,-1.0521657058125506,-1.8928465138374608,-1.8243334937151932,0.05670834782237531,0.011804672299892455,18,4.671047918602586,52.465210221744236,1.7990003887987223,2.5756967947894043,12.033,11.041,11.0335,10.8795,False,False,88.05717292609866
B-risk2%,2023-11-07 11:00:00+00:00,2023-11-09 16:00:00+00:00,ICP_USDT_USDT,B,4.133,3.97578675,4.452999999999999,4.1309335,breakeven_stop,-0.05947193334531128,-0.10473860637674977,-0.023149467090307078,0.05091609539178209,0.030673043894660603,53,11.20225845163798,46.298934180619774,1.7611434585219732,2.03545184645696,4.303,3.983,4.1259999999999994,3.98775,True,False,87.9524343197219
B-risk2%,2023-11-09 19:00:00+00:00,2023-11-10 16:00:00+00:00,AVAX_USDT_USDT,B,12.725,12.16414775,13.790999999999999,13.790999999999999,target,1.8773264037007946,3.3023085443634774,3.3433866043979843,0.030601553405047794,0.010476506629458867,21,3.1363851823620896,39.91050144555759,1.7590486863944381,1.9006788329724968,13.972,12.906,12.7018,12.20075,False,False,91.25474286408539
B-risk2%,2023-11-09 19:00:00+00:00,2023-11-11 14:00:00+00:00,FIL_USDT_USDT,B,4.34,4.054300499999999,4.795,4.795,target,1.572705762523207,2.7664660056514103,2.801430007086003,0.020601285282878606,0.014362716151714009,43,6.156989026562644,26.721332375281875,1.7590486863944381,1.5925824161400317,4.698,4.243,4.2455,4.0665,False,False,94.0212088697368
B-risk2%,2023-11-10 15:00:00+00:00,2023-11-14 00:00:00+00:00,AAVE_USDT_USDT,B,97.67,91.71403000000001,112.42,91.66817298500001,stop,-1.041787296635434,-1.8325545756489732,-1.7725921934970115,0.03075574347427424,0.029206638677687562,81,0.29534209984174536,28.84606289154327,1.7590486863944381,2.4765067654806883,109.91,95.16,95.5125,91.99000000000001,False,False,92.18865429408783
B-risk2%,2023-11-12 01:00:00+00:00,2023-11-14 11:00:00+00:00,SUI_USDT_USDT,B,0.5776,0.53384365,0.6705,0.5773112,breakeven_stop,-0.030687229624956788,-0.057705008524032736,-0.012411147237636555,0.027297697791821805,0.01799616349457438,58,42.97488655691656,24.822294475275005,1.8804241773947359,2.123120415665383,0.6265,0.5336,0.5665,0.53545,True,False,92.13094928556379
B-risk2%,2023-11-21 20:00:00+00:00,2023-11-21 22:00:00+00:00,WLD_USDT_USDT,B,2.341,2.2287935,2.8200000000000003,2.2276791032500003,stop,-1.0328474309134257,-1.9031442855441936,-1.8609192500378933,0.041263956815326616,0.0009610786909738059,2,16.42167776119275,38.44314763895223,1.8426189857112758,4.268914902434348,2.718,2.239,2.32,2.2355,False,False,90.2278050000196
B-risk2%,2023-11-26 09:00:00+00:00,2023-11-26 16:00:00+00:00,SUI_USDT_USDT,B,0.6382,0.6108120499999999,0.7146,0.610506643975,stop,-1.0382663609063914,-1.8736098949988371,-1.8246789023784646,0.04525160354545904,0.0036793890749132994,7,65.88868827350673,42.050160856152,1.804556100000392,2.789547958134869,0.6887,0.6123,0.6349499999999999,0.6126499999999999,False,False,88.35419510502076
B-risk2%,2023-11-30 01:00:00+00:00,2023-12-04 11:00:00+00:00,SOL_USDT_USDT,B,59.3,54.890458125,67.18,59.27035,breakeven_stop,-0.039332020744217745,-0.06950298069418677,-0.01188196850886497,0.026133795636826038,0.03148721654849576,106,0.4007409277863853,23.763937017732648,1.7670839021004152,1.7870337153788836,61.81,53.93,59.09,55.055625,True,False,88.28469212432658
B-risk2%,2023-12-05 17:00:00+00:00,2023-12-06 11:00:00+00:00,SUI_USDT_USDT,B,0.6409,0.6051914625,0.7476,0.60488886676875,stop,-1.031700601235008,-1.8216673988903063,-1.7806564104559106,0.03388055173361608,0.00713043670077958,18,49.44738614642311,31.690829781242574,1.7656938424865316,2.9880809316259436,0.6592,0.5525,0.6349499999999999,0.6070125,False,False,86.46302472543627
B-risk2%,2023-12-07 00:00:00+00:00,2023-12-08 01:00:00+00:00,SOL_USDT_USDT,B,63.03,59.00427272727274,69.66999999999999,69.66999999999999,target,1.632426187814739,2.8228901167895093,2.8522274127524665,0.02087645758636695,0.00846083837659019,25,0.4295523211976615,27.074682805088607,1.7292604945087255,1.6493914143124921,66.77,60.13,61.480000000000004,59.181818181818194,True,False,89.28591484222578
B-risk2%,2023-12-27 01:00:00+00:00,2023-12-27 14:00:00+00:00,SOL_USDT_USDT,B,111.23,107.23732,128.53,107.18370134,stop,-1.0480431867159397,-1.8715098944018862,-1.8096991373361857,0.05372680468267027,0.008083952383030309,13,0.4472480381208893,49.74739928018652,1.7857182968445156,4.332929260546792,127.02,109.72,110.195,107.56,False,False,87.4144049478239
B-risk2%,2023-12-30 11:00:00+00:00,2023-12-31 12:00:00+00:00,FIL_USDT_USDT,B,5.819,5.639530499999999,6.327,6.327,target,2.7955486168958976,4.88742437697334,4.948642272196043,0.04350372852615492,0.01771416669654821,25,9.741421795661502,56.68533342895428,1.748288098956478,2.8305645248914066,6.309,5.801,5.803,5.656499999999999,False,False,92.30182932479724
