strategie,sharpe,rendement_total,cagr,vol_annualisee,max_drawdown,calmar
univers point-in-time (top 30 mensuel),0.5163933061646944,0.44983728629409425,0.1462451907701967,0.34662547077930816,-0.28918877449088354,0.5057083942060379
univers figé (10 paires pré-2023),-0.0660851134866686,-0.21459141424265116,-0.08493404331285714,0.3586159798998678,-0.4924159057901848,-0.17248436192686065
