combinaison,periode,trades,win_rate,R_moyen,esperance_R,R_moyen_gagnant,R_moyen_perdant,profit_factor,rendement_total,capital_final,max_drawdown,serie_perdante_max,duree_moyenne_h,trades_bridés
A-risk2%,in-sample,123,0.3170731707317073,0.15878614846341793,0.158786148463418,2.5723346054288854,-0.9617899208419777,1.2064871493141864,0.3526619993624487,135.26619993624487,-0.2437163730841182,12,27.26829268292683,0
A-risk2%,out-of-sample,93,0.1935483870967742,-0.23422764626832193,-0.23422764626832182,2.7422822090368304,-0.9485900115415584,0.6234518138802697,-0.3903731361189988,82.46190925623344,-0.4816878321207222,17,22.118279569892472,0
A-risk5%,in-sample,123,0.3170731707317073,0.158786148463418,0.15878614846341788,2.572334605428885,-0.9617899208419777,1.137867991212152,0.5744306624841284,157.44306624841283,-0.5102865770174704,12,27.26829268292683,0
A-risk5%,out-of-sample,93,0.1935483870967742,-0.23422764626832185,-0.23422764626832182,2.7422822090368304,-0.9485900115415584,0.526776086821069,-0.7657418559670813,36.88232049020505,-0.8337452805323755,17,22.118279569892472,0
A-risk10%,in-sample,123,0.3170731707317073,0.158786148463418,0.158786148463418,2.5723346054288854,-0.9617899208419777,1.0005580510917926,0.0032747067200227242,100.32747067200228,-0.7727309846267769,12,27.26829268292683,0
A-risk10%,out-of-sample,93,0.1935483870967742,-0.23422764626832202,-0.23422764626832182,2.7422822090368304,-0.9485900115415584,0.43660125578491815,-0.9731266985666408,2.6961303614152174,-0.9838078174177314,17,22.118279569892472,0
B-risk2%,in-sample,48,0.2916666666666667,0.010508070421120211,0.01050807042112012,2.14661388455932,-0.8690649118710799,0.9772865632382313,-0.012510640528928807,98.74893594710711,-0.13888358636622078,6,33.083333333333336,0
B-risk2%,out-of-sample,45,0.15555555555555556,-0.5075475225468231,-0.5075475225468233,1.8301630485739921,-0.9381784172269735,0.3133840287550718,-0.37667811574375853,61.552372822849705,-0.4040202612485886,10,24.77777777777778,0
B-risk5%,in-sample,48,0.2916666666666667,0.010508070421120222,0.01050807042112012,2.14661388455932,-0.8690649118710799,0.9115245253491772,-0.10671867408990454,89.32813259100955,-0.3470313163860824,6,33.083333333333336,0
B-risk5%,out-of-sample,45,0.15555555555555556,-0.5075475225468231,-0.5075475225468233,1.8301630485739921,-0.9381784172269735,0.24880093666775438,-0.7110460423173214,25.81171744457528,-0.7390305345675283,10,24.77777777777778,0
B-risk10%,in-sample,48,0.2916666666666667,0.010508070421120239,0.010508070421120341,2.1466138845593203,-0.8690649118710798,0.7876349205994261,-0.3841520585853242,61.58479414146758,-0.6407437205016371,6,33.083333333333336,0
B-risk10%,out-of-sample,45,0.15555555555555556,-0.5075475225468231,-0.507547522546823,1.8301630485739921,-0.9381784172269731,0.1578085573721585,-0.9319407483017796,4.191415005257229,-0.942819028973586,10,24.77777777777778,0
