combinaison,paire,trades,win_rate,R_total,R_moyen,pnl_net
A-risk10%,FIL_USDT_USDT,6,0.5,11.048021919879236,1.8413369866465394,34.7127528228346
A-risk10%,WLD_USDT_USDT,7,0.42857142857142855,9.038361967212708,1.2911945667446727,69.22876830434897
A-risk10%,INJ_USDT_USDT,5,0.6,5.706295702706766,1.141259140541353,5.850498768302031
A-risk10%,BCH_USDT_USDT,7,0.2857142857142857,4.094416189638901,0.584916598519843,15.774089357444591
A-risk10%,ENS_USDT_USDT,15,0.2,3.532439944247203,0.23549599628314688,18.77613264105565
A-risk10%,SOL_USDT_USDT,12,0.3333333333333333,3.376051527674156,0.28133762730617967,-4.6703777093395615
A-risk10%,SUI_USDT_USDT,21,0.3333333333333333,1.8779206337864691,0.08942479208506995,9.62927062083984
A-risk10%,ZEN_USDT_USDT,1,1.0,1.8681960583529875,1.8681960583529875,0.567511969027802
A-risk10%,YFI_USDT_USDT,6,0.5,1.1257573189644567,0.18762621982740946,15.797419180266537
A-risk10%,AR_USDT_USDT,11,0.45454545454545453,0.8767400776347021,0.07970364342133655,-14.66858406507395
A-risk10%,OKB_USDT_USDT,2,0.5,0.20106360678732482,0.10053180339366241,-0.038747142206037005
A-risk10%,HYPE_USDT_USDT,5,0.2,-0.043371022949051014,-0.008674204589810202,-10.802844782901051
A-risk10%,LINK_USDT_USDT,10,0.3,-0.22562938155869872,-0.02256293815586987,-11.717716406281498
A-risk10%,BTC_USDT_USDT,6,0.3333333333333333,-0.25378142459393693,-0.042296904098989486,-22.6291221853552
A-risk10%,STRK_USDT_USDT,3,0.3333333333333333,-0.32277790676137075,-0.10759263558712358,2.1976902188271232
A-risk10%,TRUMP_USDT_USDT,6,0.16666666666666666,-0.9221484078862083,-0.15369140131436806,-10.865737718495408
A-risk10%,LIT_USDT_USDT,5,0.2,-0.957728332992839,-0.1915456665985678,-0.5643662533712908
A-risk10%,AVAX_USDT_USDT,9,0.3333333333333333,-1.0247979633755575,-0.11386644037506194,-6.35384800910782
A-risk10%,VVV_USDT_USDT,1,0.0,-1.0540043794452896,-1.0540043794452896,-0.21264994783277133
A-risk10%,DASH_USDT_USDT,5,0.2,-1.4423971371886501,-0.28847942743773003,-0.7625735986420192
A-risk10%,AAVE_USDT_USDT,15,0.2,-2.9122545068524657,-0.19415030045683104,-25.17541213139272
A-risk10%,ICP_USDT_USDT,8,0.125,-3.4682649118467044,-0.43353311398083805,-35.64741494581535
A-risk10%,UNI_USDT_USDT,11,0.18181818181818182,-4.00182377828534,-0.36380216166230367,-54.38157379774393
A-risk10%,ZEC_USDT_USDT,5,0.0,-4.224846289759428,-0.8449692579518857,-1.690067518712031
A-risk10%,TAO_USDT_USDT,6,0.16666666666666666,-5.105431992175567,-0.8509053320292611,-5.065091239558569
A-risk10%,ETH_USDT_USDT,9,0.1111111111111111,-5.728390690818891,-0.6364878545354323,-7.83454807885598
A-risk10%,ORDI_USDT_USDT,12,0.08333333333333333,-6.059830093594346,-0.5049858411328622,-54.06364966333221
A-risk10%,GIGGLE_USDT_USDT,7,0.0,-7.2502615687541,-1.035751652679157,-2.6936783275145877
A-risk2%,FIL_USDT_USDT,6,0.5,11.048021919879236,1.8413369866465394,19.093320461436058
A-risk2%,WLD_USDT_USDT,7,0.42857142857142855,9.038361967212708,1.2911945667446727,20.82989807271133
A-risk2%,INJ_USDT_USDT,5,0.6,5.7062957027067664,1.1412591405413532,9.929765505303727
A-risk2%,BCH_USDT_USDT,7,0.2857142857142857,4.094416189638901,0.584916598519843,8.599405445553085
A-risk2%,ENS_USDT_USDT,15,0.2,3.5324399442472028,0.23549599628314685,6.219257870606153
A-risk2%,SOL_USDT_USDT,12,0.3333333333333333,3.3760515276741563,0.28133762730617967,3.6588784993368497
A-risk2%,SUI_USDT_USDT,21,0.3333333333333333,1.877920633786471,0.08942479208507004,0.5188099609979513
A-risk2%,ZEN_USDT_USDT,1,1.0,1.8681960583529875,1.8681960583529875,3.101075759233089
A-risk2%,YFI_USDT_USDT,6,0.5,1.1257573189644574,0.18762621982740957,4.4726313502214765
A-risk2%,AR_USDT_USDT,11,0.45454545454545453,0.8767400776347021,0.07970364342133655,-1.140933264366094
A-risk2%,OKB_USDT_USDT,2,0.5,0.20106360678732438,0.10053180339366219,0.20419452859783216
A-risk2%,HYPE_USDT_USDT,5,0.2,-0.043371022949050125,-0.008674204589810025,-1.6489861065698055
A-risk2%,LINK_USDT_USDT,10,0.3,-0.22562938155869872,-0.02256293815586987,-0.05805902518822337
A-risk2%,BTC_USDT_USDT,6,0.3333333333333333,-0.2537814245939365,-0.04229690409898942,-1.2808976436215262
A-risk2%,STRK_USDT_USDT,3,0.3333333333333333,-0.3227779067613705,-0.10759263558712351,-0.7840444880582491
A-risk2%,TRUMP_USDT_USDT,6,0.16666666666666666,-0.9221484078862092,-0.1536914013143682,-2.6479099735078955
A-risk2%,LIT_USDT_USDT,5,0.2,-0.9577283329928394,-0.1915456665985679,-1.9090506490533363
A-risk2%,AVAX_USDT_USDT,9,0.3333333333333333,-1.0247979633755577,-0.11386644037506197,-3.166281390075668
A-risk2%,VVV_USDT_USDT,1,0.0,-1.0540043794452894,-1.0540043794452894,-1.590812754238157
A-risk2%,DASH_USDT_USDT,5,0.2,-1.4423971371886497,-0.2884794274377299,-2.7260207135017946
A-risk2%,AAVE_USDT_USDT,15,0.2,-2.9122545068524657,-0.19415030045683104,-6.2377854254281395
A-risk2%,ICP_USDT_USDT,8,0.125,-3.4682649118467053,-0.43353311398083816,-7.78359281549696
A-risk2%,UNI_USDT_USDT,11,0.18181818181818182,-4.00182377828534,-0.36380216166230367,-10.577738298723556
A-risk2%,ZEC_USDT_USDT,5,0.0,-4.224846289759428,-0.8449692579518857,-6.985647574691131
A-risk2%,TAO_USDT_USDT,6,0.16666666666666666,-5.105431992175567,-0.8509053320292611,-9.33046866540312
A-risk2%,ETH_USDT_USDT,9,0.1111111111111111,-5.728390690818891,-0.6364878545354323,-10.582301125561054
A-risk2%,ORDI_USDT_USDT,12,0.08333333333333333,-6.0598300935943445,-0.504985841132862,-14.020238806625947
A-risk2%,GIGGLE_USDT_USDT,7,0.0,-7.250261568754101,-1.0357516526791573,-11.694559477653529
A-risk5%,FIL_USDT_USDT,6,0.5,11.048021919879236,1.8413369866465394,35.67515062598099
A-risk5%,WLD_USDT_USDT,7,0.42857142857142855,9.038361967212708,1.2911945667446727,53.74887041218602
A-risk5%,INJ_USDT_USDT,5,0.6,5.7062957027067664,1.1412591405413532,14.174690443328632
A-risk5%,BCH_USDT_USDT,7,0.2857142857142857,4.094416189638902,0.5849165985198431,18.643299174385692
A-risk5%,ENS_USDT_USDT,15,0.2,3.5324399442472,0.23549599628314669,12.605994346108902
A-risk5%,SOL_USDT_USDT,12,0.3333333333333333,3.376051527674157,0.2813376273061798,0.536280098890014
A-risk5%,SUI_USDT_USDT,21,0.3333333333333333,1.8779206337864691,0.08942479208506995,-1.979633069935371
A-risk5%,ZEN_USDT_USDT,1,1.0,1.8681960583529877,1.8681960583529877,3.5624488186427805
A-risk5%,YFI_USDT_USDT,6,0.5,1.1257573189644576,0.1876262198274096,14.390878938136572
A-risk5%,AR_USDT_USDT,11,0.45454545454545453,0.876740077634703,0.07970364342133664,-9.874627135943511
A-risk5%,OKB_USDT_USDT,2,0.5,0.20106360678732438,0.10053180339366219,0.03913994844081681
A-risk5%,HYPE_USDT_USDT,5,0.2,-0.04337102294905101,-0.008674204589810202,-7.866245601559595
A-risk5%,LINK_USDT_USDT,10,0.3,-0.2256293815586996,-0.02256293815586996,-2.413148252809027
A-risk5%,BTC_USDT_USDT,6,0.3333333333333333,-0.25378142459393693,-0.042296904098989486,-7.368389288987375
A-risk5%,STRK_USDT_USDT,3,0.3333333333333333,-0.32277790676137075,-0.10759263558712358,-1.2645313828509357
A-risk5%,TRUMP_USDT_USDT,6,0.16666666666666666,-0.9221484078862086,-0.1536914013143681,-8.134744170017122
A-risk5%,LIT_USDT_USDT,5,0.2,-0.9577283329928385,-0.1915456665985677,-2.685588570985872
A-risk5%,AVAX_USDT_USDT,9,0.3333333333333333,-1.0247979633755575,-0.11386644037506194,-7.7792757291370025
A-risk5%,VVV_USDT_USDT,1,0.0,-1.0540043794452894,-1.0540043794452894,-1.6069356760119866
A-risk5%,DASH_USDT_USDT,5,0.2,-1.4423971371886497,-0.2884794274377299,-3.700556927664831
A-risk5%,AAVE_USDT_USDT,15,0.2,-2.912254506852465,-0.194150300456831,-16.11359700225997
A-risk5%,ICP_USDT_USDT,8,0.125,-3.4682649118467044,-0.43353311398083805,-21.389150664233526
