pair,entry_time,exit_time,entry_price,initial_stop,exit_price,exit_reason,bars_held,qty,notional,risk_amount,risk_pct,entry_score,gross_pnl,fees,funding,net_pnl,r_multiple,equity_after,fold
TIA/USDT:USDT,2024-01-01 19:00:00+00:00,2024-01-03 12:00:00+00:00,13.117,9.22602326296945,9.221410251337966,stop,41,1.2850243879421943,16.855664896637762,5.0,0.05,0.352972943432585,-5.005927832448318,0.015787971078454966,0.008638528259526853,-5.0303543317863,-1.00607086635726,94.9696456682137,2024-01-01
ETH/USDT:USDT,2024-01-02 01:00:00+00:00,2024-01-03 12:00:00+00:00,2391.05,2148.856911024616,2147.7824825691036,stop,35,0.020644684871698307,49.36247376247424,5.0,0.05,0.3164797623423989,-5.0221812368812335,0.051536521458436985,0.021596082271082482,-5.0953138406107525,-1.0190627681221505,89.87433182760294,2024-01-01
BTC/USDT:USDT,2024-01-01 20:00:00+00:00,2024-01-12 22:00:00+00:00,43542.9,39871.95716106496,42771.62007200206,stop,266,0.0013620479041429373,59.3075156853055,5.0,0.05,0.3152467479311592,-1.0505202094371158,0.06466048113864564,0.1971974896536408,-1.3123781802294023,-0.2624756360458805,88.56195364737354,2024-01-01
AUCTION/USDT:USDT,2024-01-01 06:00:00+00:00,2024-01-13 03:00:00+00:00,27.686,13.060226314783215,21.162,score_exit,285,0.34186225683594595,9.46479844276,5.0,0.05,0.3444187256811239,-2.2303093635977116,0.009184608137057258,0.0337183444523325,-2.2732123161871014,-0.4546424632374203,86.28874133118644,2024-01-01
INJ/USDT:USDT,2024-01-01 01:00:00+00:00,2024-01-18 06:00:00+00:00,35.816,25.222170058596255,38.569,score_exit,413,0.4719728396298449,16.904179224182524,5.0,0.05,0.3056901449308658,1.299341227500963,0.019309234821726307,0.08726782524484228,1.1927641674343945,0.2385528334868789,87.48150549862083,2024-01-01
TIA/USDT:USDT,2024-01-04 10:00:00+00:00,2024-01-23 09:00:00+00:00,14.391,9.853334769950393,14.68133214529408,stop,455,0.9903147022882121,14.25161888062966,4.493716591380148,0.05,0.31254183070534725,0.2875201920316049,0.01583491687431001,0.0810560823835812,0.1906291927737137,0.042421276219194344,87.67213469139455,2024-01-01
BIGTIME/USDT:USDT,2024-01-09 00:00:00+00:00,2024-01-24 13:00:00+00:00,0.453,0.24302162526241738,0.3341,score_exit,373,21.400854240328812,9.694586970868952,4.493716591380148,0.05,0.3015122417847923,-2.544561569175096,0.009264536804909546,0.0452010117516765,-2.5990271177316817,-0.5783691661190068,85.07310757366287,2024-01-01
ORDI/USDT:USDT,2024-01-13 21:00:00+00:00,2024-01-25 12:00:00+00:00,76.817,50.102199899647474,50.07714879969765,stop,279,0.16149988210102273,12.405936443354262,4.314437066559322,0.05,0.3347372805521619,-4.318482816247719,0.011271364538753444,0.04326570334619799,-4.37301988413267,-1.0135783224252861,80.70008768953019,2024-01-01
ORDI/USDT:USDT,2024-01-26 12:00:00+00:00,2024-02-28 17:00:00+00:00,56.235,35.952370098213464,65.25943378834515,stop,797,0.19893891492449403,11.187329880778922,4.03500438447651,0.05,0.3043545142273922,1.7953110656613251,0.013293483954970544,0.11145377393726001,1.6705638077690945,0.41401784201179465,82.37065149729929,2024-01-01
BNB/USDT:USDT,2024-02-08 10:00:00+00:00,2024-03-05 19:00:00+00:00,315.6,291.8956689882489,384.6654874924123,stop,633,0.17022224261364738,53.722139768867116,4.03500438447651,0.05,0.32476009289825425,11.756482168163231,0.06556041893824362,0.4250764309211611,11.265845318303827,2.79202802397089,93.63649681560312,2024-01-01
LINK/USDT:USDT,2024-02-11 07:00:00+00:00,2024-03-05 19:00:00+00:00,20.197,17.34418770333374,17.335515609482076,stop,564,1.414395328144,28.56654244252437,4.03500438447651,0.05,0.31656598334968156,-4.047270153505531,0.029197198102348765,0.2013941242197968,-4.2778614758276765,-1.0601875656654767,89.35863533977545,2024-01-01
