combinaison,entry_time,exit_time,pair,variant,entry_price,initial_stop,target,exit_price,exit_reason,r_multiple,net_pnl,gross_pnl,fees,funding,bars_held,qty,notional,risk_amount,rr_planned,b_price,a_price,l1,l2,moved_to_breakeven,size_capped,equity_after
A-risk5%,2023-02-02 21:00:00+00:00,2023-02-05 12:00:00+00:00,FIL_USDT_USDT,A,5.593500000000001,5.284764666666668,6.3805000000000005,5.282122284333335,stop,-1.0358596171036987,-5.179298085518494,-5.0427936495768675,0.06516693785804681,0.07133749808357978,63,16.195101305757056,90.5872991537521,5.0,2.5491089455261604,5.876,5.089,5.593500000000001,5.300666666666667,False,False,94.8207019144815
A-risk5%,2023-02-03 20:00:00+00:00,2023-02-05 12:00:00+00:00,AAVE_USDT_USDT,A,89.555,87.222545,96.325,87.1789337275,stop,-1.0661312591454608,-5.330656295727304,-5.093487918309252,0.1411804591088032,0.09598791830924885,40,2.1436640792641137,191.9758366184977,5.0,2.902521163323608,94.49,87.72,89.555,87.485,False,False,89.4900456187542
A-risk5%,2023-02-03 19:00:00+00:00,2023-02-05 19:00:00+00:00,ETH_USDT_USDT,A,1655.0549999999998,1610.1136957142855,1725.0549999999998,1609.3086388664285,stop,-1.067070162896712,-5.335350814483561,-5.089567588285699,0.13530212025500926,0.11048110594285311,48,0.11125622808391375,184.13517657142185,5.0,1.5575871931747924,1720.0,1650.0,1655.0549999999998,1614.9585714285713,False,False,84.15469480427063
A-risk5%,2023-02-02 14:00:00+00:00,2023-02-06 05:00:00+00:00,BTC_USDT_USDT,A,23615.45,22624.945925,25144.55,22613.633452037502,stop,-1.0546740438560218,-5.2733702192801095,-5.057104626058695,0.08662553154372744,0.1296400616776866,87,0.005047934810364103,119.20925211741296,5.0,1.5437594237055485,24280.0,22750.9,23615.45,22693.025,False,False,78.88132458499052
A-risk5%,2023-02-02 21:00:00+00:00,2023-02-07 21:00:00+00:00,YFI_USDT_USDT,A,7610.0,7365.836,8754.0,7798.0,time_stop,0.6994237479726749,3.4971187398633745,3.8498713979128825,0.1189958388624041,0.233756819187104,120,0.020478039350600438,155.83787945806932,5.0,4.68537540341738,8144.0,7000.0,7610.0,7388.0,False,False,82.37844332485389
A-risk5%,2023-03-14 19:00:00+00:00,2023-03-15 14:00:00+00:00,FIL_USDT_USDT,A,6.652166666666666,6.305028,8.108166666666666,6.301875486,stop,-1.027449746596845,-4.231985535958184,-4.156327851753548,0.0569117395724983,0.018745944632138203,19,11.865351116871746,78.93029318795033,4.118922166242695,4.194289313780474,7.585,6.129,6.652166666666666,6.324,False,False,78.1464577888957
A-risk5%,2023-07-12 13:00:00+00:00,2023-07-12 17:00:00+00:00,ORDI_USDT_USDT,A,7.600333333333334,7.4301425000000005,8.822333333333333,7.426427428750001,stop,-1.0569930205944025,-4.130013023351892,-3.992615279444486,0.1286731387629621,0.008724605144443771,4,22.958480271331354,174.49210288887542,3.907322889444785,7.1801751954913104,8.1,6.878,7.600333333333334,7.452500000000001,False,False,74.01644476554381
A-risk5%,2023-07-12 19:00:00+00:00,2023-07-12 19:00:00+00:00,ORDI_USDT_USDT,A,7.452500000000001,7.2776015,8.6745,7.273962699250001,stop,-1.0522015925498887,-3.8940110528593035,-3.777818637538801,0.11619241532050228,0.0,0,21.159828347739886,157.69362076153152,3.7008222382771905,6.9869095503963585,8.1,6.878,7.452500000000001,7.2995,False,False,70.12243371268451
A-risk5%,2023-07-12 19:00:00+00:00,2023-07-13 15:00:00+00:00,SOL_USDT_USDT,A,21.7895,21.302899,22.878500000000003,22.878500000000003,target,2.208419269586379,7.742986692069301,7.846606389332693,0.0643695526535743,0.03925014460981735,20,7.2053318542999785,157.0005784392694,3.5061216856342257,2.237973205973686,22.946,21.857,21.7895,21.367,False,False,77.8654204047538
A-risk5%,2023-07-12 21:00:00+00:00,2023-07-14 18:00:00+00:00,ORDI_USDT_USDT,A,7.2995,6.968033,8.5215,6.9645489835,stop,-1.038858731611065,-3.6423651272120203,-3.5429741801623593,0.05595969725733947,0.043431249792321575,45,10.577588977588194,77.21111074190502,3.5061216856342257,3.6866415057909223,8.1,6.878,7.2995,6.989,False,False,74.22305527754179
A-risk5%,2023-07-15 16:00:00+00:00,2023-07-17 10:00:00+00:00,AAVE_USDT_USDT,A,78.39666666666666,75.049175,87.49666666666667,75.0116504125,stop,-1.0405134925086328,-3.8615045235748164,-3.7527539060100743,0.06312106312407545,0.04562955444066669,42,1.1086368939560522,86.9134370298413,3.71115276387709,2.718453369313851,88.04,78.94,78.39666666666666,75.275,False,False,70.36155075396697
A-risk5%,2023-10-02 14:00:00+00:00,2023-10-02 21:00:00+00:00,LINK_USDT_USDT,A,7.679333333333333,7.4251575,8.277333333333335,7.421444921250001,stop,-1.0393514271551652,-3.6565189096493076,-3.5694637758627756,0.0777547103232066,0.009300423463325299,7,13.841117353925016,106.29055386657484,3.5180775376983484,2.3527020336971542,8.268,7.67,7.679333333333333,7.4475,False,False,66.70503184431766
A-risk5%,2023-10-31 15:00:00+00:00,2023-11-01 10:00:00+00:00,LINK_USDT_USDT,A,11.0335,10.8468615,12.0255,10.84143806925,stop,-1.0868704899476103,-3.6249865321302237,-3.432168927300599,0.1459897484112305,0.046827856418394515,19,17.870115716831567,197.1699217616611,3.335251592215883,5.315087723058183,12.033,11.041,11.0335,10.8795,False,False,63.08004531218744
A-risk5%,2023-11-04 15:00:00+00:00,2023-11-05 08:00:00+00:00,AR_USDT_USDT,A,5.8765,5.571236,6.374499999999999,6.374499999999999,target,1.6192575729532437,5.107142053699664,5.1453598467997015,0.02531558372816997,0.01290220937186783,17,10.332047885139977,60.716279397025076,3.154002265609372,1.631374810000521,6.435,5.937,5.8765,5.588,False,False,68.1871873658871
A-risk5%,2023-11-07 10:00:00+00:00,2023-11-09 16:00:00+00:00,ICP_USDT_USDT,A,4.1259999999999994,3.97578675,4.446,4.123937,breakeven_stop,-0.05286760888270337,-0.1802446776235666,-0.046823488452518526,0.07020947976013898,0.06321170941090908,54,22.69679517815087,93.64697690505048,3.4093593682943553,2.1303047500803145,4.303,3.983,4.1259999999999994,3.98775,True,False,68.00694268826354
A-risk5%,2023-11-09 16:00:00+00:00,2023-11-09 16:00:00+00:00,YFI_USDT_USDT,A,5946.75,5771.4336,6860.75,5768.547883200001,stop,-1.041341073258175,-3.5409211344001776,-3.45631702001205,0.0846041143881275,0.0,0,0.019395488011464887,115.34011833217882,3.400347134413177,5.213431259140625,6880.0,5966.0,5946.75,5788.8,False,False,64.46602155386336
A-risk5%,2023-11-09 16:00:00+00:00,2023-11-09 16:00:00+00:00,AVAX_USDT_USDT,A,12.7018,12.16414775,13.7678,12.158065676125,stop_and_target_same_bar,-1.0284744832684478,-3.315082910299112,-3.259763968485303,0.05531894181380901,0.0,0,5.99514105575335,76.1490826619679,3.223301077693168,1.982694204292826,13.972,12.906,12.7018,12.20075,False,False,61.150938643564245
A-risk5%,2023-11-10 06:00:00+00:00,2023-11-10 08:00:00+00:00,ICP_USDT_USDT,A,4.126,3.984012,4.407,3.9820199940000003,stop,-1.0359922458003465,-3.167594912907266,-3.1004424714785714,0.06493122579037161,0.0022212156383228277,2,21.533840410303707,88.8486255329131,3.0575469321782123,1.97904048229427,4.417,4.136,4.126,3.996,False,False,57.983343730656976
A-risk5%,2023-11-10 12:00:00+00:00,2023-11-10 14:00:00+00:00,ICP_USDT_USDT,A,4.126,3.984012,4.407,3.9820199940000003,stop,-1.0359922458003463,-3.0035147245268377,-2.939840753528478,0.06156781346891478,0.0021061575294451817,2,20.418395825934866,84.24630117780727,2.899167186532849,1.97904048229427,4.417,4.136,4.126,3.996,False,False,54.97982900613014
