combinaison,trades,win_rate,R_moyen,esperance_R,R_moyen_gagnant,R_moyen_perdant,profit_factor,rendement_total,capital_final,max_drawdown,serie_perdante_max,duree_moyenne_h,trades_bridés
A-risk2%,216,0.2638888888888889,-0.010428124268303389,-0.010428124268303307,2.6260022697261314,-0.9555635485304592,0.9436117314779361,-0.17538090743766555,82.46190925623344,-0.519828429907475,17,25.050925925925927,0
A-risk5%,216,0.2638888888888889,-0.010428124268303389,-0.010428124268303307,2.6260022697261314,-0.9555635485304592,0.9059933759523006,-0.6311767950979494,36.88232049020505,-0.8657874344212904,17,25.050925925925927,0
A-risk10%,216,0.2638888888888889,-0.010428124268303406,-0.010428124268303307,2.6260022697261314,-0.9555635485304592,0.8719856427351399,-0.9730386963858478,2.6961303614152174,-0.990266162702728,17,25.050925925925927,0
B-risk2%,93,0.22580645161290322,-0.2401639906924008,-0.24016399069240085,2.041130272564211,-0.905541484142246,0.6480898521127144,-0.3844762717715029,61.552372822849705,-0.4300256785689687,13,29.06451612903226,0
B-risk5%,93,0.22580645161290322,-0.24016399069240077,-0.24016399069240085,2.041130272564211,-0.905541484142246,0.6384108598810586,-0.7418828255542472,25.81171744457528,-0.7674487416245245,13,29.06451612903226,0
B-risk10%,93,0.22580645161290322,-0.24016399069240077,-0.24016399069240085,2.041130272564211,-0.905541484142246,0.6152882981040078,-0.9580858499474277,4.191415005257229,-0.9647852167052907,13,29.06451612903226,0
