strategie,sharpe,rendement_total,cagr,vol_annualisee,max_drawdown,calmar,trades
coûts nominaux,0.5163933061646944,0.44983728629409425,0.1462451907701967,0.34662547077930816,-0.28918877449088354,0.5057083942060379,44
frais et slippage doublés,0.49974115053292645,0.4276217055666325,0.13975978724220206,0.3474904707110322,-0.29011739092479594,0.4817352961733704,44
